Origem,Pergunta,Temas
Vamos falar de Sexo?,"Se você tivesse apenas 10seg pra convencer alguém a fazer sexo com você, o que diria?",Sem classificação
Vamos falar de Sexo?,Você acha que roupas de baixo são eróticas?,Sem classificação
Vamos falar de Sexo?,O que você acha do 69?,Sem classificação
Vamos falar de Sexo?,"Escuro, claridade ou meia-luz?",Sem classificação
Vamos falar de Sexo?,Você goza com sexo oral?,Sem classificação
Vamos falar de Sexo?,Você transaria com alguém 30 anos mais velho?,Sem classificação
Vamos falar de Sexo?,"Se o mundo fosse acabar em algumas horas, o que você faria em relação ao sexo?",Sem classificação
Vamos falar de Sexo?,Você gosta de gritar durante o sexo ou é mais discreto?,Sem classificação
Vamos falar de Sexo?,Qualidade ou quantidade?,Sem classificação
Vamos falar de Sexo?,Você gostaria de visitar uma casa de swing?,Sem classificação
Vamos falar de Sexo?,"Como você prefere os pelo pubianos: curtos, longos ou raspados?",Sem classificação
Vamos falar de Sexo?,Você já fez sexo virtual? Foi interessante?,Sem classificação
Vamos falar de Sexo?,Você já pensou em outra pessoa quando estava transando?,Sem classificação
Vamos falar de Sexo?,Qual foi a coisa mais excitante que já te disseram até hoje?,Sem classificação
Vamos falar de Sexo?,Você se excita vendo 2 pessoas do mesmo sexo transando?,Sem classificação
Vamos falar de Sexo?,Qual foi a sua maior aventura em um carnaval?,Sem classificação
Vamos falar de Sexo?,Você já fez dança erótica para alguém?,Sem classificação
Vamos falar de Sexo?,O que você gosta de fazer com a lÍngua?,Sem classificação
Vamos falar de Sexo?,Qual é a sua maior habilidade manual em relação ao sexo?,Sem classificação
Vamos falar de Sexo?,Que brincadeira erótica você faria usando um lubrificante?,Sem classificação
Vamos falar de Sexo?,"Se pudesse fazer um curso sobre sexo, o que gostaria de aprender?",Sem classificação
